Date,PM2.5,AQI,CO2,NO2
20/4/2020,24.71484694,78.03219388,240.7772021,4.561968085
21/4/2020,26.78456522,81.88228261,382.5304878,10.93809783
22/4/2020,15.37196133,55.3194337,211.9263158,11.90417311
23/4/2020,19.73235595,67.05089629,26.54748603,11.31570093
24/4/2020,26.61536905,81.68615476,304.0707071,14.7093804
25/4/2020,24.03727599,76.22618877,126.8076464,13.95752688
26/4/2020,15.19772889,55.55248514,87.60879905,13.44165279
27/4/2020,18.05686905,61.00138095,73.76785714,13.2342381
28/4/2020,20.04339576,67.35426966,480.0847458,15.0906053
29/4/2020,16.04690476,58.52954762,573.1778043,16.11189718
30/4/2020,14.184,50.8505,267.0285714,15.6320232
1/5/2020,18.61616667,64.10720238,55.51785714,15.21675787
2/5/2020,22.60700357,73.20664685,14.53389831,14.67976923
3/5/2020,29.68613174,88.196,269.5017857,12.97186949
4/5/2020,9.913470839,36.4644808,183.8847795,13.04753912
5/5/2020,14.19492696,49.91722444,183.8703242,15.2215457
6/5/2020,16.0269378,54.33375598,150.9501348,15.37071429
7/5/2020,20.9929559,69.38387366,81.55238095,16.06572243
8/5/2020,22.68216249,72.76391876,705.2352941,15.68643541
9/5/2020,23.54470238,75.11230952,640.2465582,14.8892268
10/5/2020,29.20339759,87.86333735,466.1893848,16.45808853
11/5/2020,42.22196429,117.6395833,78.90833333,16.9621097
12/5/2020,32.5677685,93.42015513,166.5369928,15.70365535
13/5/2020,18.93013126,65.37531026,166.8019093,18.3772093
14/5/2020,15.80906475,58.79681055,439.4618227,18.66711538
15/5/2020,22.3774851,72.68893921,579.9061697,17.93628483
16/5/2020,23.28106312,74.91780731,63.89700997,16.9027572
17/5/2020,34.23669145,99.70183395,282.5266419,17.69033457
18/5/2020,37.15585424,105.7603226,212.9522103,16.96676471
19/5/2020,41.66504762,116.321,179.5511905,17.37068627
20/5/2020,46.74854415,124.2175298,160.6443914,18.23642512
21/5/2020,36.96733015,105.10118,138.6436234,16.05580756
22/5/2020,38.46738975,109.5532181,137.681764,17.21489879
23/5/2020,33.84264916,98.34865155,177.3579952,16.90824257
24/5/2020,27.30337709,83.32674224,187.0572792,17.0467378
25/5/2020,22.22542857,72.03685714,329.1559524,17.80695652
26/5/2020,17.56041667,59.3622619,381.0738095,19.21142857
27/5/2020,16.78794048,59.4719881,348.3154762,18.46465517
28/5/2020,16.78466667,59.44994048,370.9833333,19.81486486
29/5/2020,20.54132743,68.56335019,298.1491783,19.25119048
30/5/2020,24.71484694,78.03219388,240.7772021,4.561968085
31/5/2020,26.78456522,81.88228261,382.5304878,10.93809783
1/6/2020,15.37196133,55.3194337,211.9263158,11.90417311
2/6/2020,19.73235595,67.05089629,26.54748603,11.31570093
3/6/2020,26.61536905,81.68615476,304.0707071,14.7093804
4/6/2020,24.03727599,76.22618877,126.8076464,13.95752688
5/6/2020,15.19772889,55.55248514,87.60879905,13.44165279
6/6/2020,18.05686905,61.00138095,73.76785714,13.2342381
7/6/2020,20.04339576,67.35426966,480.0847458,15.0906053
8/6/2020,16.04690476,58.52954762,573.1778043,16.11189718
9/6/2020,14.184,50.8505,267.0285714,15.6320232
10/6/2020,18.61616667,64.10720238,55.51785714,15.21675787
11/6/2020,22.60700357,73.20664685,14.53389831,14.67976923
12/6/2020,29.68613174,88.196,269.5017857,12.97186949
13/6/2020,9.913470839,36.4644808,183.8847795,13.04753912
14/6/2020,14.19492696,49.91722444,183.8703242,15.2215457
15/6/2020,16.0269378,54.33375598,150.9501348,15.37071429
16/6/2020,20.9929559,69.38387366,81.55238095,16.06572243
17/6/2020,22.68216249,72.76391876,705.2352941,15.68643541
18/6/2020,23.54470238,75.11230952,640.2465582,14.8892268
